UMAP1,UMAP2,label
20.790848,3.5326083,
20.245481,3.6323154,
20.213783,3.6479244,
20.536928,3.551062,
20.430653,3.4083068,
20.314754,3.5927267,
20.510412,3.4639323,-1.9676497058491689
20.320467,3.8086832,-1.9676497058491689
20.241333,4.132271,-1.9676497058491689
20.18094,3.7437148,-1.9676497058491689
20.159315,3.9176605,-1.9676497058491689
20.58475,3.661027,-1.9676497058491689
20.485268,3.7733974,
20.30101,3.9138649,-1.9676497058491689
20.32012,4.1517687,
21.086424,3.938281,-1.9676497058491689
20.889124,3.634279,-1.9676497058491689
20.503185,5.588776,-1.9676497058491689
20.439512,5.254147,-1.9676497058491689
21.092676,3.826732,-1.9676497058491689
21.30151,3.449501,
20.517586,5.6933565,-1.9676497058491689
21.088774,3.4118648,-1.9676497058491689
20.565166,5.8211775,
20.873663,3.6956048,
20.674244,5.8995876,-1.9676497058491689
21.53188,4.0868726,
21.482222,4.05762,-1.9676497058491689
21.405369,6.3572474,-1.9676497058491689
21.622559,5.854033,
20.66187,4.071412,-1.9676497058491689
21.364147,5.0061913,
21.464745,3.5579426,-1.9676497058491689
22.072756,4.481358,-1.9676497058491689
21.800909,3.8477137,-1.9676497058491689
21.64303,4.826206,-1.9676497058491689
21.807522,3.3800664,
21.574808,3.8123496,
22.18983,4.805529,
21.99933,4.007839,-1.9676497058491689
22.21025,3.7891712,
22.21733,5.155032,-0.8596145007517411
21.78282,4.339147,-0.8596145007517411
21.782711,4.784818,-0.8596145007517411
21.279552,5.518712,
22.041443,4.9210553,-0.8596145007517411
21.74185,3.7648094,-0.8596145007517411
22.072254,3.9956634,-0.8596145007517411
21.79643,6.2936225,
22.03401,4.9523435,-0.8596145007517411
21.715176,3.3026714,-0.8596145007517411
21.766682,4.163565,-0.8596145007517411
20.771267,5.532938,-0.8596145007517411
21.59542,3.3391855,
21.536835,5.0691104,-0.8596145007517411
21.743378,3.1974761,-0.8596145007517411
22.106026,3.8535964,-0.8596145007517411
22.092655,3.6516953,-0.8596145007517411
21.545437,5.775288,-0.8596145007517411
21.320232,5.686845,-0.8596145007517411
21.59135,4.6708755,
21.89996,3.6532097,-0.8596145007517411
21.589006,3.9707282,-0.8596145007517411
21.527172,4.1393228,
22.922491,4.831464,-0.8596145007517411
23.2901,4.7514577,-0.8596145007517411
20.811209,6.4177194,-0.8596145007517411
21.096823,6.7442617,-0.8596145007517411
23.375093,5.0364056,
23.413136,5.3074665,-0.8596145007517411
22.760122,5.061283,
22.67254,5.0531263,
23.099035,4.4699063,-0.8596145007517411
23.128407,4.708243,-0.8596145007517411
22.94366,4.5714173,
25.925146,6.5283656,-0.8596145007517411
23.0681,4.395556,-0.8596145007517411
23.120348,4.416767,-0.8596145007517411
22.966358,4.846309,-0.8596145007517411
22.878656,5.0380354,-0.8596145007517411
22.92545,5.1615505,-0.8596145007517411
21.870916,6.34416,-0.8596145007517411
23.018744,4.247165,-0.8596145007517411
21.918774,3.3203225,-0.8596145007517411
22.848831,5.7450924,-0.8596145007517411
22.959154,5.0484858,-0.8596145007517411
21.416372,6.473112,-0.8596145007517411
20.579718,6.4429097,
22.798689,5.78968,-0.8596145007517411
23.224915,4.0799427,-0.8596145007517411
21.188818,6.4571247,
20.75624,6.3941913,-0.8596145007517411
22.808712,5.4189315,
