UMAP1,UMAP2,label
14.672715,-12.427366,1
14.359391,-12.942661,1
14.858253,-11.748547,1
14.077615,-12.789752,1
14.808619,-12.8024435,1
14.752043,-11.723138,1
14.552836,-12.649397,1
14.447922,-13.124775,1
14.704925,-12.743593,1
14.31645,-12.947153,1
14.520956,-12.828781,1
13.893492,-13.328901,1
14.305176,-11.653773,1
14.205925,-13.002985,1
13.694777,-12.666112,1
14.436617,-13.100046,1
14.623653,-12.178431,1
14.4898,-12.962693,1
14.5106945,-12.726496,1
14.289009,-13.352923,1
14.754022,-12.950535,1
14.325996,-13.135711,1
14.364877,-12.471394,1
14.128541,-11.873217,1
13.6784,-12.201485,1
14.331728,-12.428681,1
14.053276,-12.543178,1
14.367795,-13.32178,1
14.188168,-13.112252,1
13.648944,-11.513018,1
14.213496,-12.058248,1
14.997508,-11.307744,1
14.8078165,-11.477139,1
13.756727,-12.888841,1
13.479243,-12.695569,1
14.451181,-11.355959,1
14.8582115,-11.265728,1
14.771283,-11.342167,1
14.361666,-11.347034,1
13.60274,-13.133646,1
14.869751,-11.155423,1
13.869612,-10.3397875,2
13.666922,-13.045333,2
14.822632,-11.048117,2
13.662857,-13.43602,2
13.349614,-12.636018,2
13.372364,-12.817235,2
14.602633,-11.152118,2
13.995005,-13.462436,2
15.006197,-11.277852,2
14.163518,-13.067799,2
14.193115,-12.162841,2
14.02614,-13.496539,2
15.038403,-11.234616,2
13.349687,-12.844759,2
13.809787,-12.287625,2
15.059219,-11.2652855,2
13.46828,-12.369604,2
13.195893,-12.755854,2
13.210843,-12.215145,2
13.873683,-13.507083,2
13.403987,-12.613962,2
13.323977,-12.865802,2
13.66533,-13.36766,2
12.331663,-11.415971,2
12.674374,-11.42635,2
12.309929,-11.66913,2
12.755326,-11.010789,2
13.420756,-13.474564,2
11.901457,-11.682469,2
12.977753,-13.302034,2
14.084568,-11.0238,2
12.447792,-12.062283,2
12.579364,-12.013444,2
13.132714,-13.386282,2
14.408784,-11.121105,2
11.8945055,-11.694121,2
12.864359,-12.497493,2
13.229395,-12.872519,2
13.25953,-13.493207,2
12.927068,-13.172636,2
12.84428,-11.598122,2
12.852736,-11.903695,2
12.922901,-11.827027,2
12.9468355,-11.781688,2
13.862471,-10.800445,2
13.748286,-10.808102,2
13.408495,-11.311454,2
13.361958,-11.194608,2
12.923804,-12.041563,2
13.348185,-10.924215,2
12.853802,-12.176838,2
13.181049,-13.207265,2
13.101227,-11.913955,2
13.013128,-12.347128,2
13.154306,-12.002607,2
14.336613,-10.628908,2
13.046436,-10.7812605,2
12.593218,-11.434617,2
12.528942,-11.247536,2
12.565869,-11.872553,2
12.118404,-11.751901,2
12.504042,-12.562458,2
12.576828,-12.744121,2
12.450834,-12.646022,2
12.552704,-12.104519,2
12.720278,-12.025423,2
12.52467,-12.376318,2
12.355763,-12.05811,2
11.661721,-11.458377,2
13.456173,-13.378287,2
12.766072,-12.813611,2
14.35822,-10.97232,2
12.848366,-11.7405,2
12.821186,-11.812772,2
12.7338705,-11.4729805,2
13.066466,-11.2097225,2
12.776096,-11.955609,2
14.490081,-10.714886,2
14.199305,-10.570177,2
13.214734,-11.33146,2
12.561042,-12.866914,2
14.700936,-10.709331,2
14.650242,-10.680057,2
12.5933275,-11.227749,2
12.675505,-12.341771,2
14.232615,-10.4593115,2
14.490861,-10.565795,2
14.510199,-10.557839,2
13.626891,-11.148023,2
14.249247,-10.517603,2
11.492764,-7.0824394,2
13.523891,-8.880723,2
11.626658,-7.0520163,2
12.066848,-8.306659,2
13.175257,-8.390193,2
11.917768,-7.853738,2
12.763166,-8.2509985,2
11.846611,-7.857288,2
11.789574,-7.0517087,2
12.079892,-8.548613,2
12.331487,-8.924815,3
11.987574,-8.802732,3
13.386586,-8.543842,3
12.016202,-7.80084,3
12.655155,-8.721689,3
12.691658,-8.788775,3
12.479133,-9.51033,3
12.8098,-11.085288,3
12.367501,-9.530072,3
11.3287525,-7.1464043,3
11.689553,-7.3719635,3
12.390811,-9.609463,3
12.310842,-9.51675,3
13.109909,-8.554253,3
12.092942,-9.140873,3
13.0577965,-9.666253,3
11.932029,-7.5404997,3
11.574974,-7.2323656,3
12.1263685,-8.882248,3
13.2298565,-8.547806,3
13.387222,-8.667074,3
11.251756,-7.431326,3
12.452326,-8.946278,3
12.877999,-9.382138,3
11.629269,-7.6463475,3
9.551135,-5.1327586,3
11.645566,-8.650378,3
12.323745,-9.181541,3
11.447503,-7.729859,3
12.248531,-8.133792,3
11.510981,-7.764991,3
13.229341,-9.029308,3
10.746488,-6.891595,3
13.347423,-9.1829195,3
11.809554,-8.848635,3
12.375983,-8.089934,3
12.317661,-8.017531,3
13.207082,-8.73502,3
10.759531,-7.0725045,3
11.079906,-7.088886,3
11.392882,-7.6112056,3
11.418919,-7.3378043,3
11.566513,-8.63502,3
11.659557,-8.480126,3
11.313992,-7.737577,3
10.973647,-7.481636,3
11.532883,-8.601048,3
13.12106,-9.544843,3
11.93219,-7.9177265,3
12.9548235,-9.336443,3
12.719284,-9.300051,3
12.480461,-9.010107,3
11.137434,-7.7313848,3
11.015238,-7.688402,3
11.069322,-7.558927,3
11.440545,-6.744474,3
12.324028,-9.884351,3
12.6378355,-9.982624,3
11.445989,-10.0556135,3
11.504861,-10.825989,3
11.797092,-9.685565,3
11.941667,-6.94326,3
11.731146,-9.394091,3
11.863886,-6.836745,3
11.870333,-6.9735417,3
11.90949,-6.828452,3
11.91603,-6.8721004,3
12.76046,-9.765363,3
13.441557,-8.780088,3
11.941507,-6.914163,3
11.736426,-9.370905,3
12.656872,-9.703867,3
11.941999,-7.295951,3
11.976415,-7.1736965,3
12.247924,-9.35466,3
12.734649,-9.822018,3
12.232856,-9.802033,3
11.406628,-8.39184,3
12.411721,-9.706835,3
12.798724,-10.849172,3
13.1295595,-9.418948,3
12.208521,-11.917946,3
13.412544,-9.062499,3
12.984264,-9.437289,3
11.328705,-9.115622,3
11.180715,-9.188875,3
11.204922,-9.256353,3
12.858823,-9.179965,3
11.265303,-9.242893,3
12.135219,-10.120866,3
12.242397,-10.076062,3
12.006287,-10.201727,3
9.7437525,-5.374657,3
11.392859,-10.827592,3
11.625505,-9.574365,3
11.346011,-10.680368,3
11.3257,-10.137043,3
11.698562,-10.000095,3
11.963938,-9.785613,3
12.344217,-9.972308,3
11.458939,-9.70953,3
11.380574,-9.5567255,3
9.589597,-5.1788335,3
11.332073,-10.678861,3
11.380622,-9.821301,3
12.7052965,-9.907283,3
12.200121,-10.021577,3
9.68318,-5.321745,3
11.133209,-8.679635,3
10.996452,-7.869666,3
12.087069,-9.86009,3
11.124381,-8.366981,3
11.390723,-8.808082,3
12.904486,-9.688626,3
11.930548,-9.801751,3
10.955907,-8.330754,3
11.136017,-9.006206,3
10.915119,-8.016959,3
11.164687,-9.237643,3
10.939686,-7.9163637,3
11.448342,-9.448038,4
9.20921,-2.7370665,4
8.89665,-3.4307258,4
12.215004,-11.148264,4
7.849429,-2.4401593,4
7.882994,-2.3831325,4
8.913602,-2.2051558,4
8.183063,-3.010134,4
8.825036,-3.3135161,4
8.497314,-3.5069666,4
8.690419,-3.6144161,4
9.389495,-3.0012553,4
8.9793215,-3.1775098,4
9.320779,-4.7208834,4
9.447257,-4.8456674,4
9.420798,-4.8736925,4
7.6277585,-2.3756363,4
8.780727,-3.1889358,4
8.737489,-3.778979,4
8.595423,-3.2636285,4
9.194545,-2.7935605,4
8.901682,-2.5453215,4
9.282601,-2.3984816,4
9.017543,-2.1436129,4
9.317172,-2.971227,4
9.050781,-3.083158,4
9.185434,-4.5506415,4
8.402109,-2.3883698,4
9.274509,-2.6224926,4
8.913034,-2.9918702,4
12.811226,-8.629407,4
7.7269745,-2.3425524,4
8.772842,-3.094691,4
8.934914,-3.9147732,4
8.56353,-3.0620499,4
8.912238,-3.0654619,4
11.392643,-7.587554,4
8.797984,-3.477529,4
9.22555,-4.618591,4
9.292613,-3.2840738,4
9.446476,-4.9974976,4
9.297702,-4.851088,4
7.8155527,-2.484656,4
8.140201,-2.9036264,4
9.244416,-4.2371697,4
8.542238,-3.406017,4
8.391094,-2.680953,4
9.313682,-3.48554,4
9.201472,-3.3836184,4
7.94927,-3.1899185,4
7.673655,-2.529251,4
8.769094,-2.769052,4
7.7020965,-2.5904882,4
9.386713,-4.593414,4
12.233616,-10.874613,4
8.106169,-2.755883,4
8.577956,-2.8633294,4
9.370982,-2.5817165,4
8.721686,-2.6013322,4
9.187106,-3.4149604,4
8.532909,-2.6236293,4
8.519187,-2.271861,4
8.991584,-2.5283294,4
9.094015,-4.101728,4
11.447958,-9.499792,4
9.28913,-4.6930356,4
9.356392,-2.7816553,4
8.896048,-2.7094634,4
7.430001,-2.1223485,4
9.187943,-3.5355897,4
8.813571,-2.6624982,4
8.9210615,-2.4596894,4
8.890961,-2.8000982,4
9.10301,-2.3446183,4
8.784477,-2.7836552,4
8.301075,-3.3052933,4
8.258945,-1.8916572,4
8.014899,-1.9136024,4
8.221096,-1.8937238,4
7.959793,-2.5218499,4
8.462578,-3.1568058,4
8.037112,-2.1774197,4
8.381475,-1.9913784,4
7.781381,-2.0610938,4
7.720982,-1.8654482,4
7.784828,-2.104416,4
